4
darknet-yolov3
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
544
Loaded: 0.768239 seconds
Region 94 Avg IOU: 0.099632, Class: 0.364419, Obj: 0.663241, No Obj: 0.491373, .5R: 0.040000, .75R: 0.000000,  count: 25
Region 106 Avg IOU: 0.134330, Class: 0.945028, Obj: 0.572374, No Obj: 0.601214, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.486844, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.051568, Class: 0.316177, Obj: 0.540023, No Obj: 0.493118, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.610240, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.214191, Class: 0.530240, Obj: 0.441855, No Obj: 0.488283, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.067114, Class: 0.336782, Obj: 0.608489, No Obj: 0.494037, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.599629, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.054064, Class: 0.514575, Obj: 0.595443, No Obj: 0.486817, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.091269, Class: 0.314347, Obj: 0.618803, No Obj: 0.493153, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: 0.317321, Class: 0.514220, Obj: 0.638491, No Obj: 0.606112, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.275311, Class: 0.836452, Obj: 0.560485, No Obj: 0.486574, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.093259, Class: 0.608134, Obj: 0.664757, No Obj: 0.494881, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.608793, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.488137, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.135109, Class: 0.307025, Obj: 0.492552, No Obj: 0.493873, .5R: 0.100000, .75R: 0.000000,  count: 20
Region 106 Avg IOU: 0.262645, Class: 0.380828, Obj: 0.698144, No Obj: 0.610220, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: 0.245085, Class: 0.716297, Obj: 0.489344, No Obj: 0.487003, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.208887, Class: 0.440841, Obj: 0.585155, No Obj: 0.494336, .5R: 0.071429, .75R: 0.000000,  count: 14
Region 106 Avg IOU: 0.026251, Class: 0.389528, Obj: 0.198676, No Obj: 0.610027, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.288436, Class: 0.490605, Obj: 0.669793, No Obj: 0.488657, .5R: 0.250000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.098940, Class: 0.313000, Obj: 0.473332, No Obj: 0.494788, .5R: 0.000000, .75R: 0.000000,  count: 19
Region 106 Avg IOU: 0.047416, Class: 0.788039, Obj: 0.237991, No Obj: 0.603846, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.183452, Class: 0.120778, Obj: 0.356717, No Obj: 0.488127, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.170991, Class: 0.232390, Obj: 0.617702, No Obj: 0.494508, .5R: 0.071429, .75R: 0.000000,  count: 14
Region 106 Avg IOU: 0.111742, Class: 0.049986, Obj: 0.877146, No Obj: 0.608902, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.127877, Class: 0.791809, Obj: 0.671279, No Obj: 0.487588, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.088621, Class: 0.337789, Obj: 0.537300, No Obj: 0.494154, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.608114, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.161809, Class: 0.590842, Obj: 0.587347, No Obj: 0.487597, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.120161, Class: 0.310706, Obj: 0.496577, No Obj: 0.494040, .5R: 0.055556, .75R: 0.055556,  count: 18
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.601031, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.274008, Class: 0.735071, Obj: 0.469998, No Obj: 0.486971, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.149666, Class: 0.322069, Obj: 0.499320, No Obj: 0.494674, .5R: 0.062500, .75R: 0.000000,  count: 16
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.604188, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.306749, Class: 0.580379, Obj: 0.072577, No Obj: 0.488025, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.056970, Class: 0.219723, Obj: 0.601606, No Obj: 0.493316, .5R: 0.000000, .75R: 0.000000,  count: 16
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.606590, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.276904, Class: 0.712560, Obj: 0.597764, No Obj: 0.489011, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.115856, Class: 0.331181, Obj: 0.522324, No Obj: 0.494249, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 106 Avg IOU: 0.120257, Class: 0.998979, Obj: 0.826314, No Obj: 0.608050, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.487105, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.090303, Class: 0.276177, Obj: 0.540768, No Obj: 0.494205, .5R: 0.052632, .75R: 0.000000,  count: 19
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.610102, .5R: -nan, .75R: -nan,  count: 0
